Country Name,Country Code,Year,Prevalence of Undernourishment
Afghanistan,AFG,2000,
Albania,ALB,2000,
Algeria,DZA,2000,
Andorra,AND,2000,
Angola,AGO,2000,
Antigua and Barbuda,ATG,2000,
Argentina,ARG,2000,
Armenia,ARM,2000,
Australia,AUS,2000,
Austria,AUT,2000,
Azerbaijan,AZE,2000,
Bahamas,BHS,2000,
Bahrain,BHR,2000,
Bangladesh,BGD,2000,
Barbados,BRB,2000,
Belarus,BLR,2000,
Belgium,BEL,2000,
Belize,BLZ,2000,
Benin,BEN,2000,
Bhutan,BTN,2000,
Bolivia,BOL,2000,
Bosnia and Herzegovina,BIH,2000,
Botswana,BWA,2000,
Brazil,BRA,2000,
Brunei,BRN,2000,
Bulgaria,BGR,2000,
Burkina Faso,BFA,2000,
Burundi,BDI,2000,
Cabo Verde,CPV,2000,
Cambodia,KHM,2000,
Cameroon,CMR,2000,
Canada,CAN,2000,
Central African Republic,CAF,2000,
Chad,TCD,2000,
Chile,CHL,2000,
China,CHN,2000,
Colombia,COL,2000,
Comoros,COM,2000,
Congo,COG,2000,
Costa Rica,CRI,2000,
Croatia,HRV,2000,
Cuba,CUB,2000,
Cyprus,CYP,2000,
Czechia,CZE,2000,
Côte d'Ivoire,CIV,2000,
Democratic Republic of the Congo,COD,2000,
Denmark,DNK,2000,
Djibouti,DJI,2000,
Dominica,DMA,2000,
Dominican Republic,DOM,2000,
Ecuador,ECU,2000,
Egypt,EGY,2000,
El Salvador,SLV,2000,
Equatorial Guinea,GNQ,2000,
Eritrea,ERI,2000,
Estonia,EST,2000,
Eswatini,SWZ,2000,
Ethiopia,ETH,2000,
Fiji,FJI,2000,
Finland,FIN,2000,
France,FRA,2000,
Gabon,GAB,2000,
Gambia,GMB,2000,
Georgia,GEO,2000,
Germany,DEU,2000,
Ghana,GHA,2000,
Greece,GRC,2000,
Grenada,GRD,2000,
Guatemala,GTM,2000,
Guinea,GIN,2000,
Guinea-Bissau,GNB,2000,
Guyana,GUY,2000,
Haiti,HTI,2000,
Honduras,HND,2000,
Hungary,HUN,2000,
Iceland,ISL,2000,
India,IND,2000,
Indonesia,IDN,2000,
Iran,IRN,2000,
Iraq,IRQ,2000,
Ireland,IRL,2000,
Israel,ISR,2000,
Italy,ITA,2000,
Jamaica,JAM,2000,
Japan,JPN,2000,
Jordan,JOR,2000,
Kazakhstan,KAZ,2000,
Kenya,KEN,2000,
Kiribati,KIR,2000,
Kuwait,KWT,2000,
Kyrgyzstan,KGZ,2000,
Laos,LAO,2000,
Latvia,LVA,2000,
Lebanon,LBN,2000,
Lesotho,LSO,2000,
Liberia,LBR,2000,
Libya,LBY,2000,
Liechtenstein,LIE,2000,
Lithuania,LTU,2000,
Luxembourg,LUX,2000,
Madagascar,MDG,2000,
Malawi,MWI,2000,
Malaysia,MYS,2000,
Maldives,MDV,2000,
Mali,MLI,2000,
Malta,MLT,2000,
Marshall Islands,MHL,2000,
Mauritania,MRT,2000,
Mauritius,MUS,2000,
Mexico,MEX,2000,
Micronesia,FSM,2000,
Moldova,MDA,2000,
Monaco,MCO,2000,
Mongolia,MNG,2000,
Montenegro,MNE,2000,
Morocco,MAR,2000,
Mozambique,MOZ,2000,
Myanmar,MMR,2000,
Namibia,NAM,2000,
Nauru,NRU,2000,
Nepal,NPL,2000,
Netherlands,NLD,2000,
New Zealand,NZL,2000,
Nicaragua,NIC,2000,
Niger,NER,2000,
Nigeria,NGA,2000,
North Korea,PRK,2000,
North Macedonia,MKD,2000,
Norway,NOR,2000,
Oman,OMN,2000,
Pakistan,PAK,2000,
Palau,PLW,2000,
Palestine,PSE,2000,
Panama,PAN,2000,
Papua New Guinea,PNG,2000,
Paraguay,PRY,2000,
Peru,PER,2000,
Philippines,PHL,2000,
Poland,POL,2000,
Portugal,PRT,2000,
Qatar,QAT,2000,
Romania,ROU,2000,
Russia,RUS,2000,
Rwanda,RWA,2000,
Saint Kitts and Nevis,KNA,2000,
Saint Lucia,LCA,2000,
Saint Vincent and the Grenadines,VCT,2000,
Samoa,WSM,2000,
San Marino,SMR,2000,
Sao Tome and Principe,STP,2000,
Saudi Arabia,SAU,2000,
Senegal,SEN,2000,
Serbia,SRB,2000,
Seychelles,SYC,2000,
Sierra Leone,SLE,2000,
Singapore,SGP,2000,
Slovakia,SVK,2000,
Slovenia,SVN,2000,
Solomon Islands,SLB,2000,
Somalia,SOM,2000,
South Africa,ZAF,2000,
South Korea,KOR,2000,
South Sudan,SSD,2000,
Spain,ESP,2000,
Sri Lanka,LKA,2000,
Sudan,SDN,2000,
Suriname,SUR,2000,
Sweden,SWE,2000,
Switzerland,CHE,2000,
Syria,SYR,2000,
Tajikistan,TJK,2000,
Tanzania,TZA,2000,
Thailand,THA,2000,
Timor-Leste,TLS,2000,
Togo,TGO,2000,
Tonga,TON,2000,
Trinidad and Tobago,TTO,2000,
Tunisia,TUN,2000,
Turkmenistan,TKM,2000,
Tuvalu,TUV,2000,
Türkiye,TUR,2000,
Uganda,UGA,2000,
Ukraine,UKR,2000,
United Arab Emirates,ARE,2000,
United Kingdom,GBR,2000,
United States,USA,2000,
Uruguay,URY,2000,
Uzbekistan,UZB,2000,
Vanuatu,VUT,2000,
Vatican City,VAT,2000,
Venezuela,VEN,2000,
Vietnam,VNM,2000,
Yemen,YEM,2000,
Zambia,ZMB,2000,
Zimbabwe,ZWE,2000,
