Country,Country Code,Year,"Prevalence of wasting, weight for height (% of children under 5)"
Afghanistan,AFG,2019,
Albania,ALB,2019,
Algeria,DZA,2019,2.7
Andorra,AND,2019,
Angola,AGO,2019,
Antigua and Barbuda,ATG,2019,
Argentina,ARG,2019,
Armenia,ARM,2019,
Australia,AUS,2019,
Austria,AUT,2019,
Azerbaijan,AZE,2019,
Bahamas,BHS,2019,
Bahrain,BHR,2019,
Bangladesh,BGD,2019,9.8
Barbados,BRB,2019,
Belarus,BLR,2019,1.3
Belgium,BEL,2019,
Belize,BLZ,2019,
Benin,BEN,2019,
Bhutan,BTN,2019,
Bolivia,BOL,2019,
Bosnia and Herzegovina,BIH,2019,
Botswana,BWA,2019,
Brazil,BRA,2019,3.4
Brunei,BRN,2019,
Bulgaria,BGR,2019,
Burkina Faso,BFA,2019,8.1
Burundi,BDI,2019,4.8
Cabo Verde,CPV,2019,
Cambodia,KHM,2019,
Cameroon,CMR,2019,
Canada,CAN,2019,
Central African Republic,CAF,2019,5.2
Chad,TCD,2019,13.9
Chile,CHL,2019,
China,CHN,2019,
Colombia,COL,2019,
Comoros,COM,2019,
Congo,COG,2019,
Costa Rica,CRI,2019,
Croatia,HRV,2019,
Cuba,CUB,2019,2.0
Cyprus,CYP,2019,
Czechia,CZE,2019,
Côte d'Ivoire,CIV,2019,
Democratic Republic of the Congo,COD,2019,
Denmark,DNK,2019,
Djibouti,DJI,2019,10.6
Dominica,DMA,2019,
Dominican Republic,DOM,2019,2.2
Ecuador,ECU,2019,
Egypt,EGY,2019,
El Salvador,SLV,2019,
Equatorial Guinea,GNQ,2019,
Eritrea,ERI,2019,
Estonia,EST,2019,
Eswatini,SWZ,2019,
Ethiopia,ETH,2019,6.8
Fiji,FJI,2019,
Finland,FIN,2019,1.2
France,FRA,2019,
Gabon,GAB,2019,
Gambia,GMB,2019,
Georgia,GEO,2019,
Germany,DEU,2019,
Ghana,GHA,2019,
Greece,GRC,2019,
Grenada,GRD,2019,
Guatemala,GTM,2019,
Guinea,GIN,2019,
Guinea-Bissau,GNB,2019,7.8
Guyana,GUY,2019,6.5
Haiti,HTI,2019,
Honduras,HND,2019,1.9
Hungary,HUN,2019,
Iceland,ISL,2019,
India,IND,2019,
Indonesia,IDN,2019,8.6
Iran,IRN,2019,
Iraq,IRQ,2019,
Ireland,IRL,2019,
Israel,ISR,2019,
Italy,ITA,2019,
Jamaica,JAM,2019,
Japan,JPN,2019,
Jordan,JOR,2019,0.6
Kazakhstan,KAZ,2019,
Kenya,KEN,2019,
Kiribati,KIR,2019,
Kuwait,KWT,2019,1.7
Kyrgyzstan,KGZ,2019,
Laos,LAO,2019,
Latvia,LVA,2019,
Lebanon,LBN,2019,
Lesotho,LSO,2019,
Liberia,LBR,2019,3.4
Libya,LBY,2019,
Liechtenstein,LIE,2019,
Lithuania,LTU,2019,
Luxembourg,LUX,2019,
Madagascar,MDG,2019,
Malawi,MWI,2019,3.8
Malaysia,MYS,2019,9.7
Maldives,MDV,2019,
Mali,MLI,2019,13.0
Malta,MLT,2019,
Marshall Islands,MHL,2019,
Mauritania,MRT,2019,11.1
Mauritius,MUS,2019,
Mexico,MEX,2019,1.4
Micronesia,FSM,2019,
Moldova,MDA,2019,
Monaco,MCO,2019,
Mongolia,MNG,2019,
Montenegro,MNE,2019,
Morocco,MAR,2019,2.4
Mozambique,MOZ,2019,
Myanmar,MMR,2019,
Namibia,NAM,2019,
Nauru,NRU,2019,
Nepal,NPL,2019,12.0
Netherlands,NLD,2019,
New Zealand,NZL,2019,
